TIME,X,Y,Z
14:25:45.36,-0.08325196,-0.03442383,1.22143554
14:25:45.50,-0.0834961,-0.03100586,1.22729492
14:25:45.64,-0.08081055,-0.03662109,1.21948242
14:25:45.79,-0.08642579,-0.03540039,1.22485351
14:25:45.93,-0.078125,-0.04077148,1.22387695
14:25:46.08,-0.08178711,-0.03515625,1.22460937
14:25:46.22,-0.08422852,-0.03662109,1.21948242
14:25:46.35,-0.08496094,-0.03564453,1.21484375
14:25:46.49,-0.08154297,-0.03710937,1.23046875
14:25:46.63,-0.0822754,-0.04052734,1.22021484
14:25:46.78,-0.08447266,-0.03417968,1.22485351
14:25:46.92,-0.08520508,-0.03320312,1.22192382
14:25:47.07,-0.08300782,-0.03637695,1.22509765
14:25:47.21,-0.0834961,-0.03222656,1.21948242
14:25:47.34,-0.09057618,-0.03271484,1.22558593
14:25:47.48,-0.08496094,-0.03759765,1.22607421
14:25:47.63,-0.08203125,-0.03173828,1.2211914
14:25:47.77,-0.07958984,-0.03979492,1.23510742
14:25:47.91,-0.08422852,-0.03051758,1.22729492
14:25:48.06,-0.08325196,-0.04052734,1.22167968
14:25:48.20,-0.08837891,-0.03784179,1.22827148
14:25:48.33,-0.0769043,-0.03784179,1.22045898
14:25:48.47,-0.07885742,-0.03735351,1.22534179
14:25:48.62,-0.08398438,-0.03857422,1.22827148
14:25:48.76,-0.08544922,-0.03588867,1.22070312
14:25:48.91,-0.08544922,-0.03637695,1.22387695
14:25:49.05,-0.08789063,-0.04003906,1.22583007
14:25:49.19,-0.08129883,-0.03784179,1.22509765
14:25:49.32,-0.08569336,-0.03833008,1.21801757
14:25:49.47,-0.08276368,-0.04614258,1.21313476
14:25:49.61,-0.07788086,0.05932617,1.40380859
14:25:49.75,-0.08544922,-0.03271484,1.22998046
14:25:49.90,-0.08642579,-0.04125977,1.21508789
14:25:50.04,-0.0834961,-0.03662109,1.22265625
14:25:50.19,-0.08325196,-0.04272461,1.21533203
14:25:50.31,-0.08496094,-0.03662109,1.22802734
14:25:50.46,-0.08422852,-0.03857422,1.22729492
14:25:50.60,-0.08276368,-0.03710937,1.21777343
14:25:50.75,-0.08374024,-0.04150391,1.2224121
14:25:50.89,-0.08496094,-0.03955078,1.22387695
14:25:51.03,-0.08154297,-0.03930664,1.22167968
14:25:51.18,-0.07788086,-0.03857422,1.2224121
14:25:51.31,-0.08325196,-0.04638672,1.23315429
14:25:51.45,-0.08496094,-0.03710937,1.22021484
14:25:51.59,-0.078125,-0.03833008,1.21606445
14:25:51.74,-0.08081055,-0.03271484,1.21801757
14:25:51.88,-0.07983398,-0.03295898,1.22485351
14:25:52.03,-0.08105469,-0.03686523,1.22412109
14:25:52.17,-0.08276368,-0.03881836,1.22802734
14:25:52.30,-0.08422852,-0.04296875,1.22094726
14:25:52.44,-0.08081055,-0.03833008,1.22094726
14:25:52.59,-0.08496094,-0.03881836,1.21826171
14:25:52.73,-0.08056641,-0.03784179,1.22680664
14:25:52.87,-0.08178711,-0.04370117,1.23071289
14:25:53.02,-0.0834961,-0.03564453,1.2302246
14:25:53.16,-0.08056641,-0.03417968,1.23071289
14:25:53.29,-0.08398438,-0.03515625,1.22094726
14:25:53.43,-0.08691407,-0.04467773,1.23583984
14:25:53.58,-0.08251954,-0.03686523,1.2265625
14:25:53.72,-0.0859375,-0.03784179,1.22094726
14:25:53.86,-0.08666993,-0.03808593,1.21704101
14:25:54.01,-0.0847168,-0.03662109,1.22021484
14:25:54.15,-0.08105469,-0.03637695,1.22094726
14:25:54.28,-0.08911133,-0.03686523,1.21972656
14:25:54.42,-0.08325196,-0.02783203,1.22583007
14:25:54.57,-0.08081055,-0.03613281,1.22485351
14:25:54.71,-0.08251954,-0.04101562,1.22045898
14:25:54.86,-0.04980469,0.0324707,1.36669921
14:25:55.00,-0.08959961,-0.03662109,1.21728515
14:25:55.14,-0.09228516,-0.05053711,1.2224121
14:25:55.27,-0.07983398,-0.03222656,1.21582031
14:25:55.42,-0.08569336,-0.03735351,1.22583007
14:25:55.56,-0.078125,-0.03295898,1.2290039
14:25:55.70,-0.0847168,-0.03588867,1.22167968
14:25:55.85,-0.08618165,-0.03759765,1.22314453
14:25:55.99,-0.07836914,-0.03759765,1.22509765
14:25:56.14,-0.08203125,-0.03735351,1.22412109
14:25:56.26,-0.07983398,-0.03076172,1.22412109
14:25:56.41,-0.08154297,-0.04248047,1.2277832
14:25:56.55,-0.08447266,-0.03491211,1.23120117
14:25:56.70,-0.0793457,-0.03540039,1.21875
